kappa,kernel_variance,avg_best_temp,std_best_temp,max_best_temp,min_best_temp,runs
2.0,1.0,34.56,2.1904337470008093,37.7,31.7,5
0.5,1.0,34.5,5.088713000356769,39.5,29.0,5
2.5,1.0,33.739999999999995,2.011964214393487,36.4,31.4,5
1.0,2.0,33.64,2.535350074447313,36.3,30.3,5
1.0,1.0,33.46,4.059926107701961,39.3,28.4,5
2.5,2.0,33.08,2.1206131188880244,36.4,30.5,5
1.5,1.0,32.4,2.8133609793270407,37.1,30.3,5
2.0,2.0,32.14,4.14523823199584,37.3,28.2,5
0.5,2.0,32.12,3.483819742753635,37.4,28.9,5
1.5,2.0,31.639999999999997,0.9208691546577082,33.2,30.8,5
